Offer ID,Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
766,NetMeds CPS,FLAT 20%,PAYOOM,05/25/2016,01/22/2017,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2F%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
219,India Flower Mall - CPS,Flat 10% off on every product,PMFD10,06-02-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 10% off ,IFMFLAT10,07-01-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat INR 100 off,IFMFLAT100,07-01-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,on shopping above INR 799,"IFMPF01	",07-01-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 15% off  on or above INR 999,IFMFLAT15,07-01-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 20% off on or above INR 1499,IFMFLAT20,07-01-16,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
1152,Myles- CPS,Flat Rs.500 OFF for First Time User,MYLESM500,10-03-16,11-08-16,http://tracking.payoom.com/aff_c?offer_id=1152&aff_id=18862&url=www.mylescar.com%3Frefsite%3DPayoom%26adunit%3DWebad%26channel%3DAffiliate%26campaign%3DPayoom-Affiliate-Campaign-LMS%26utm_source%3DAffiliate-payoom%26utm_medium%3DPayoom-Network%26utm_campaign%3DPayoom-Affiliate-Campaign
1152,Myles- CPS,Flat Rs.550 Off on spends of Rs 2000 & above,MYLESMR550,10-03-16,11-08-16,http://tracking.payoom.com/aff_c?offer_id=1152&aff_id=18862&url=www.mylescar.com%3Frefsite%3DPayoom%26adunit%3DWebad%26channel%3DAffiliate%26campaign%3DPayoom-Affiliate-Campaign-LMS%26utm_source%3DAffiliate-payoom%26utm_medium%3DPayoom-Network%26utm_campaign%3DPayoom-Affiliate-Campaign
1152,Myles- CPS,Flat Rs.750 Off on spends of Rs 3000 & above, MYLES750,10-03-16,11-08-16,http://tracking.payoom.com/aff_c?offer_id=1152&aff_id=18862&url=www.mylescar.com%3Frefsite%3DPayoom%26adunit%3DWebad%26channel%3DAffiliate%26campaign%3DPayoom-Affiliate-Campaign-LMS%26utm_source%3DAffiliate-payoom%26utm_medium%3DPayoom-Network%26utm_campaign%3DPayoom-Affiliate-Campaign
1152,Myles- CPS,Flat Rs.1000 Off on spends of Rs 5000 & above,MYLES1000,10-03-16,11-08-16,http://tracking.payoom.com/aff_c?offer_id=1152&aff_id=18862&url=www.mylescar.com%3Frefsite%3DPayoom%26adunit%3DWebad%26channel%3DAffiliate%26campaign%3DPayoom-Affiliate-Campaign-LMS%26utm_source%3DAffiliate-payoom%26utm_medium%3DPayoom-Network%26utm_campaign%3DPayoom-Affiliate-Campaign
562,Freecharge CPS, Get Rs. 50 in Freecharge wallet on redeeming the Scotch Brite freefund code.,,10-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS, Get 10% cashback on paying with Freecharge wallet at MK Retail Max Rs.50 Valid thrice per user,,10-05-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get 10% cashback on paying with Freecharge wallet at hypercity Max Rs.100 on every second transaction Valid thrice per user,,10-05-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get 10% cashback on using Freecharge wallet at Dabur NewU Max Rs.50 Valid twice per user,,10-06-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS, Get 10% cashback when you pay with Freecharge on Bookmyshow,,09/23/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
52,Ferns n Petals - CPS,Flat 17% off on Diwali Gifts ,FNPA17DG,10/14/2016,11-05-16,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=+http%3A%2F%2Fwww.fnp.com%2Fgifts%2Fdiwali%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
