Offer ID,Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
766,NetMeds CPS,FLAT 20%,PAYOOM,05/25/2016,01/22/2017,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2F%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
219,India Flower Mall - CPS,Flat 10% off on every product,PMFD10,06/02/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 10% off ,IFMFLAT10,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat INR 100 off,IFMFLAT100,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,on shopping above INR 799,IFMPF01	,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 15% off  on or above INR 999,IFMFLAT15,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 20% off on or above INR 1499,IFMFLAT20,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
1262,Fabhotels- CPS,Flat 15% off on all Fabhotels properties,FABPAY15,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Flat 750 off on a min booking of 1499,FABPAY750,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Flat 30% off on selected leisure properties only on weekdays, FABPAY30,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
